,name,id,interval,products,bbox,self_link,quads_link,tiles_link
0,global_monthly_2016_01_mosaic,48fff803-4104-49bc-b913-7467b7a5ffb5,1 mon,"['PSScene', 'REOrthoTile']","[-179, -56, 180, 58]",https://api.planet.com/basemaps/v1/mosaics/48fff803-4104-49bc-b913-7467b7a5ffb5?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/48fff803-4104-49bc-b913-7467b7a5ffb5/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_01_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
1,global_monthly_2016_02_mosaic,a97687cf-65db-4f34-ab2c-2ef7596a24ce,1 mon,"['PSScene', 'REOrthoTile']","[-179, -56, 180, 68]",https://api.planet.com/basemaps/v1/mosaics/a97687cf-65db-4f34-ab2c-2ef7596a24ce?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/a97687cf-65db-4f34-ab2c-2ef7596a24ce/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_02_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
2,global_monthly_2016_03_mosaic,cfd6a60f-ec1e-491d-a885-e06d43990bd5,1 mon,"['PSScene', 'REOrthoTile']","[-180, -55, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/cfd6a60f-ec1e-491d-a885-e06d43990bd5?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/cfd6a60f-ec1e-491d-a885-e06d43990bd5/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_03_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
3,global_monthly_2016_04_mosaic,e6eaab79-7209-46cd-b187-1046e302e8bb,1 mon,"['PSScene', 'REOrthoTile']","[-180, -53, 180, 65]",https://api.planet.com/basemaps/v1/mosaics/e6eaab79-7209-46cd-b187-1046e302e8bb?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/e6eaab79-7209-46cd-b187-1046e302e8bb/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_04_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
4,global_monthly_2016_05_mosaic,ab910c9a-242f-47e2-8c3c-debbe256a724,1 mon,"['PSScene', 'REOrthoTile']","[-180, -55, 180, 70]",https://api.planet.com/basemaps/v1/mosaics/ab910c9a-242f-47e2-8c3c-debbe256a724?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/ab910c9a-242f-47e2-8c3c-debbe256a724/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_05_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
5,global_monthly_2016_06_mosaic,4c20a124-b320-4b64-a00c-5d4bc0f8e371,1 mon,"['PSScene', 'REOrthoTile']","[-180, -51, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/4c20a124-b320-4b64-a00c-5d4bc0f8e371?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/4c20a124-b320-4b64-a00c-5d4bc0f8e371/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_06_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
6,global_monthly_2016_07_mosaic,727c90ac-0e02-47ae-92bd-2e3b41c6395c,1 mon,"['PSScene', 'REOrthoTile']","[-180, -52, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/727c90ac-0e02-47ae-92bd-2e3b41c6395c?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/727c90ac-0e02-47ae-92bd-2e3b41c6395c/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_07_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
7,global_monthly_2016_08_mosaic,d887144d-e7c5-4980-8fd4-28287ff875bb,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/d887144d-e7c5-4980-8fd4-28287ff875bb?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/d887144d-e7c5-4980-8fd4-28287ff875bb/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_08_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
8,global_monthly_2016_09_mosaic,17218a40-7753-4a1d-9bcc-f0ce632c3c2b,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/17218a40-7753-4a1d-9bcc-f0ce632c3c2b?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/17218a40-7753-4a1d-9bcc-f0ce632c3c2b/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_09_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
9,global_monthly_2016_10_mosaic,1ade603f-40d3-4eeb-b742-10e6b3e8aa49,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/1ade603f-40d3-4eeb-b742-10e6b3e8aa49?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/1ade603f-40d3-4eeb-b742-10e6b3e8aa49/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_10_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
10,global_monthly_2016_11_mosaic,1ef11325-beb4-4531-b422-573e121f4611,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 70]",https://api.planet.com/basemaps/v1/mosaics/1ef11325-beb4-4531-b422-573e121f4611?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/1ef11325-beb4-4531-b422-573e121f4611/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_11_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
11,global_monthly_2016_12_mosaic,f2952136-69bc-4c31-bc21-a2e3919042a1,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 62]",https://api.planet.com/basemaps/v1/mosaics/f2952136-69bc-4c31-bc21-a2e3919042a1?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/f2952136-69bc-4c31-bc21-a2e3919042a1/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2016_12_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
12,global_monthly_2017_01_mutate_mosaic,5b9d2f32-7329-419a-9822-5d4cdfefe198,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 67]",https://api.planet.com/basemaps/v1/mosaics/5b9d2f32-7329-419a-9822-5d4cdfefe198?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/5b9d2f32-7329-419a-9822-5d4cdfefe198/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_01_mutate_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
13,global_monthly_2017_02_mosaic,0c24ddd9-ddec-4ffa-9124-d12581f6c1ea,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/0c24ddd9-ddec-4ffa-9124-d12581f6c1ea?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/0c24ddd9-ddec-4ffa-9124-d12581f6c1ea/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_02_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
14,global_monthly_2017_03_mosaic,ecb880ff-5ed3-4715-8025-5c5f580ab0dd,1 mon,"['PSScene', 'REOrthoTile']","[-180, -57, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/ecb880ff-5ed3-4715-8025-5c5f580ab0dd?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/ecb880ff-5ed3-4715-8025-5c5f580ab0dd/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_03_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
15,global_monthly_2017_04_mosaic,fddb9ff1-c3ec-48d3-b25d-72da64b7e493,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/fddb9ff1-c3ec-48d3-b25d-72da64b7e493?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/fddb9ff1-c3ec-48d3-b25d-72da64b7e493/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_04_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
16,global_monthly_2017_05_mosaic,cfb53e32-1f83-409d-9607-78824445a678,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/cfb53e32-1f83-409d-9607-78824445a678?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/cfb53e32-1f83-409d-9607-78824445a678/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_05_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
17,global_monthly_2017_06_mosaic,ea71f1a3-862b-446e-8cd6-f05f938beb07,1 mon,"['PSScene', 'REOrthoTile']","[-180, -54, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/ea71f1a3-862b-446e-8cd6-f05f938beb07?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/ea71f1a3-862b-446e-8cd6-f05f938beb07/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_06_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
18,global_monthly_2017_07_mosaic,c2a2ef5a-1030-42d0-90de-eb68e8d4b15d,1 mon,"['PSScene', 'REOrthoTile']","[-180, -56, 180, 76]",https://api.planet.com/basemaps/v1/mosaics/c2a2ef5a-1030-42d0-90de-eb68e8d4b15d?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8,"https://api.planet.com/basemaps/v1/mosaics/c2a2ef5a-1030-42d0-90de-eb68e8d4b15d/quads?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8&bbox={lx},{ly},{ux},{uy}",https://tiles.planet.com/basemaps/v1/planet-tiles/global_monthly_2017_07_mosaic/gmap/{z}/{x}/{y}.png?api_key=PLAK8e88c39260c445b182ba0d54e535d5f8
