Image_IDs,Visible_Percent,Ground_Control,Satellite_Azimuth,Date,Time_UTC
20160820_175413_0e16,100,TRUE,231,8/20/2016,54:13.1
20160820_175414_0e16,100,TRUE,241.2,8/20/2016,54:14.1
20160820_175415_0e16,100,TRUE,241.9,8/20/2016,54:15.2
20160926_175519_0e20,100,TRUE,192.6,9/26/2016,55:19.7
20160930_175433_0e0d,100,TRUE,165,9/30/2016,54:33.2
20160930_175434_0e0d,100,TRUE,181.9,9/30/2016,54:34.4
20161002_175402_0e19,100,TRUE,195.8,10/2/2016,54:02.5
20161002_175403_0e19,100,TRUE,196.3,10/2/2016,54:03.6
20161005_175540_0e0d,100,TRUE,186,10/5/2016,55:40.7
20161005_175541_0e0d,100,TRUE,187.3,10/5/2016,55:41.8
20161021_175459_0e0f,100,TRUE,159.8,10/21/2016,54:59.8
20161021_175500_0e0f,100,TRUE,167.7,10/21/2016,55:00.9
20161101_175537_0e20,99,TRUE,194,11/1/2016,55:38.0
20161101_175539_0e20,100,TRUE,190.7,11/1/2016,55:39.1
20161112_175553_0e19,95,TRUE,182.7,11/12/2016,55:53.1
20161112_175554_0e19,93,TRUE,190.2,11/12/2016,55:54.2
20161113_175527_0e26,100,TRUE,179.6,11/13/2016,55:27.6
20161113_175528_0e26,100,TRUE,185.9,11/13/2016,55:28.8
20161124_175706_0e0d,100,TRUE,194.8,11/24/2016,57:06.6
20161124_175707_0e0d,100,TRUE,194.5,11/24/2016,57:07.7
20161129_175630_0e0d,100,TRUE,200.4,11/29/2016,56:30.8
20161129_175631_0e0d,100,TRUE,183.9,11/29/2016,56:32.0
20161204_175715_0e3a,100,TRUE,168.8,12/4/2016,57:15.3
20161204_175716_0e3a,100,TRUE,173.4,12/4/2016,57:16.5
20170130_175905_0e20,100,TRUE,179.5,1/30/2017,59:05.4
20170130_175906_0e20,100,TRUE,178.8,1/30/2017,59:06.4
20170201_175828_0e0d,80,TRUE,174.4,2/1/2017,58:28.8
20170201_175829_0e0d,92,TRUE,173.2,2/1/2017,58:29.9
20170224_175841_0e14,100,TRUE,181.6,2/24/2017,58:41.1
20170224_175842_0e14,94,TRUE,179.8,2/24/2017,58:42.2
20170228_175951_0e1f,100,TRUE,177.7,2/28/2017,59:51.7
20170228_175952_0e1f,100,TRUE,176.7,2/28/2017,59:52.8
20170308_180027_0e16,100,TRUE,171.3,3/8/2017,00:27.1
20170308_180028_0e16,100,TRUE,177.3,3/8/2017,00:28.2
20170312_175227_0f1d,100,TRUE,190.5,3/12/2017,52:27.9
20170312_175229_0f1d,100,TRUE,188.6,3/12/2017,52:29.0
20170312_175230_0f1d,100,TRUE,187.5,3/12/2017,52:30.1
20170312_180024_0e0d,100,TRUE,166,3/12/2017,00:24.9
20170312_180026_0e0d,100,TRUE,162.8,3/12/2017,00:26.0
20170315_175915_0e20,100,TRUE,172,3/15/2017,59:15.5
20170315_175916_0e20,100,TRUE,170.2,3/15/2017,59:16.6
20170316_175209_100f,100,TRUE,183.7,3/16/2017,52:09.7
20170316_175210_100f,100,TRUE,181.8,3/16/2017,52:10.8
20170317_175205_0f17,100,TRUE,175.7,3/17/2017,52:05.4
20170317_175206_0f17,100,TRUE,177.4,3/17/2017,52:06.4
20170327_175243_1003,99,TRUE,175.8,3/27/2017,52:43.2
20170327_175244_1003,100,TRUE,177,3/27/2017,52:44.3
20170410_180151_0e0d,100,TRUE,182.7,4/10/2017,01:51.2
20170410_180152_0e0d,100,TRUE,187.6,4/10/2017,01:52.3
20170414_175316_1017,100,TRUE,177.5,4/14/2017,53:16.4
20170414_175317_1017,100,TRUE,178.8,4/14/2017,53:17.5
20170419_175322_0f52,100,TRUE,177.5,4/19/2017,53:22.9
20170419_175323_0f52,100,TRUE,180.3,4/19/2017,53:23.9
20170427_175401_1005,99,TRUE,180.4,4/27/2017,54:01.5
20170427_175402_1005,100,TRUE,183.3,4/27/2017,54:02.5
20170427_175403_1005,100,TRUE,182.9,4/27/2017,54:03.6
20170503_175507_0f52,100,TRUE,179.5,5/3/2017,55:07.6
20170503_175508_0f52,100,TRUE,182.5,5/3/2017,55:08.7
20170504_175445_1023,100,TRUE,184.9,5/4/2017,54:45.2
20170504_175446_1023,100,TRUE,185.7,5/4/2017,54:46.3
20170508_175433_101b,96,TRUE,181.1,5/8/2017,54:33.5
20170508_175434_101b,99,TRUE,175.4,5/8/2017,54:34.5
20170508_180121_0e30,100,TRUE,187,5/8/2017,01:21.4
20170508_180122_0e30,100,TRUE,192,5/8/2017,01:22.4
20170512_180053_0e14,94,TRUE,184.4,5/12/2017,00:53.0
20170514_175424_102f,100,TRUE,179.5,5/14/2017,54:24.3
20170514_175425_102f,100,TRUE,178.1,5/14/2017,54:25.4
20170516_175505_1015,100,TRUE,179,5/16/2017,55:05.6
20170516_175506_1015,100,TRUE,181.7,5/16/2017,55:06.7
20170522_175532_101b,100,TRUE,182.3,5/22/2017,55:32.2
20170522_175533_101b,100,TRUE,180.7,5/22/2017,55:33.3
20170523_180201_0e0d,99,TRUE,181,5/23/2017,02:01.7
20170523_180202_0e0d,92,TRUE,188.6,5/23/2017,02:02.7
20170523_180259_0e3a,100,TRUE,197.8,5/23/2017,02:59.5
20170523_180300_0e3a,90,TRUE,193.1,5/23/2017,03:00.6
20170528_175456_1002,100,TRUE,183.3,5/28/2017,54:56.2
20170528_175457_1002,100,TRUE,182.8,5/28/2017,54:57.3
20170530_175537_1019,100,TRUE,176.7,5/30/2017,55:37.7
20170530_175538_1019,99,TRUE,178.3,5/30/2017,55:38.8
20170602_175505_1025,100,TRUE,186.6,6/2/2017,55:05.1
20170602_175506_1025,100,TRUE,185.3,6/2/2017,55:06.1
20170607_175618_1008,100,TRUE,176.3,6/7/2017,56:18.6
20170607_175619_1008,100,TRUE,169.9,6/7/2017,56:19.6
20170607_175624_1030,79,TRUE,180.6,6/7/2017,56:24.6
20170607_175625_1030,61,TRUE,181.6,6/7/2017,56:25.6
20170607_180254_0e16,97,TRUE,192.8,6/7/2017,02:55.0
20170607_180256_0e16,79,TRUE,191.2,6/7/2017,02:56.0
20170608_175624_1036,100,TRUE,185.2,6/8/2017,56:24.6
20170608_175625_1036,100,TRUE,181.3,6/8/2017,56:25.7
20170609_175556_1017,50,TRUE,184.1,6/9/2017,55:56.6
20170609_175557_1017,88,TRUE,180.3,6/9/2017,55:57.6
20170609_175603_102e,80,TRUE,182.2,6/9/2017,56:03.9
20170610_175547_100b,100,TRUE,180.9,6/10/2017,55:47.7
20170610_175548_100b,100,TRUE,179.9,6/10/2017,55:48.8
20170610_175555_0f51,100,TRUE,176.2,6/10/2017,55:55.5
20170610_175556_0f51,100,TRUE,174.5,6/10/2017,55:56.6
20170612_175657_100e,100,TRUE,181.4,6/12/2017,56:57.8
20170612_175658_100e,100,TRUE,179.5,6/12/2017,56:58.8
20170613_175653_1031,100,TRUE,182,6/13/2017,56:53.3
20170613_175654_1031,100,TRUE,184.8,6/13/2017,56:54.3
20170615_175550_1032,100,TRUE,180.5,6/15/2017,55:50.8
20170615_175551_1032,100,TRUE,183.6,6/15/2017,55:51.8
20170616_175640_1025,100,TRUE,183,6/16/2017,56:40.6
20170616_175641_1025,100,TRUE,181.6,6/16/2017,56:41.6
20170618_175609_1034,100,TRUE,179.5,6/18/2017,56:09.8
20170618_175610_1034,100,TRUE,178.9,6/18/2017,56:10.9
20170618_180310_0e1f,100,TRUE,175.7,6/18/2017,03:10.5
20170618_180311_0e1f,100,TRUE,176.9,6/18/2017,03:11.5
20170620_175631_1021,100,TRUE,182.3,6/20/2017,56:32.0
20170620_175633_1021,100,TRUE,182.8,6/20/2017,56:33.0
20170620_175636_100c,100,TRUE,180.7,6/20/2017,56:36.2
20170620_175637_100c,100,TRUE,179.8,6/20/2017,56:37.3
20170622_175713_1015,100,TRUE,181,6/22/2017,57:13.5
20170625_175620_1029,100,TRUE,175.6,6/25/2017,56:20.8
20170625_175621_1029,100,TRUE,176,6/25/2017,56:21.8
20170625_175712_102c,100,TRUE,183.1,6/25/2017,57:12.8
20170625_175713_102c,100,TRUE,186,6/25/2017,57:13.9
20170625_180339_0e0d,100,TRUE,193.6,6/25/2017,03:39.1
20170625_180340_0e0d,100,TRUE,187.7,6/25/2017,03:40.2
20170626_175637_1005,100,TRUE,178.9,6/26/2017,56:37.7
